epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,865.602,1.55856,1.79276,1.57678,0.80408,0.7588,0.84559,0.6895,1.62893,1.71672,1.53274,0.000717875,0.000717875,0.000717875
45,885.511,1.5637,1.79503,1.57378,1,0.90895,0.95431,0.80783,1.59049,1.7206,1.5195,0.0007055,0.0007055,0.0007055
46,906.13,1.56436,1.78932,1.58094,0.78931,0.6526,0.83472,0.63984,1.66126,1.7178,1.55652,0.000693125,0.000693125,0.000693125
47,926.807,1.54986,1.77076,1.5652,0.73145,0.62354,0.7589,0.52914,1.6491,1.71964,1.53638,0.00068075,0.00068075,0.00068075
48,947.059,1.54841,1.75882,1.56813,0.77359,0.61128,0.76425,0.52439,1.63016,1.68514,1.51162,0.000668375,0.000668375,0.000668375
49,968.105,1.55265,1.75416,1.55281,0.71593,0.62389,0.7732,0.51717,1.67714,1.71704,1.54664,0.000656,0.000656,0.000656
50,988.654,1.54251,1.7498,1.54951,0.75271,0.91302,0.8547,0.68827,1.62616,1.69508,1.53159,0.000643625,0.000643625,0.000643625
51,1008.94,1.53716,1.74037,1.54778,0.77323,0.59332,0.77184,0.53078,1.64365,1.71953,1.53761,0.00063125,0.00063125,0.00063125
52,1028.83,1.53514,1.74004,1.54677,0.70699,0.59509,0.75973,0.53054,1.65609,1.66729,1.54303,0.000618875,0.000618875,0.000618875
53,1048.79,1.54052,1.7393,1.54876,0.80206,0.6507,0.80426,0.5455,1.6452,1.68546,1.53563,0.0006065,0.0006065,0.0006065
54,1068.5,1.54275,1.73282,1.54859,0.77452,0.66896,0.84016,0.63818,1.68381,1.67081,1.56406,0.000594125,0.000594125,0.000594125
55,1088.56,1.53568,1.71293,1.53839,0.81171,0.6412,0.8,0.55046,1.6335,1.6835,1.52436,0.00058175,0.00058175,0.00058175
56,1108.74,1.51552,1.7026,1.53277,0.74806,0.60424,0.77477,0.54826,1.61617,1.67148,1.53321,0.000569375,0.000569375,0.000569375
57,1129.11,1.52552,1.70493,1.53661,0.84161,0.64638,0.8825,0.6555,1.64062,1.70078,1.53723,0.000557,0.000557,0.000557
58,1149.31,1.51826,1.70357,1.53545,0.76683,0.61125,0.77667,0.5415,1.61252,1.6585,1.52581,0.000544625,0.000544625,0.000544625
59,1169.38,1.50016,1.67004,1.53148,0.72254,0.64392,0.78502,0.55216,1.63059,1.6867,1.53704,0.00053225,0.00053225,0.00053225
60,1189.05,1.51825,1.6849,1.53879,0.83159,0.65637,0.8665,0.65028,1.65937,1.67754,1.54605,0.000519875,0.000519875,0.000519875
61,1208.55,1.50683,1.67998,1.52399,0.80618,0.60025,0.78722,0.55786,1.60928,1.6666,1.52383,0.0005075,0.0005075,0.0005075
62,1228.39,1.51785,1.66206,1.53054,0.7999,0.60909,0.78538,0.55541,1.58908,1.64178,1.50752,0.000495125,0.000495125,0.000495125
63,1248.52,1.49438,1.67019,1.52512,0.74577,0.61077,0.78491,0.55086,1.59146,1.67104,1.51305,0.00048275,0.00048275,0.00048275
64,1268.43,1.48981,1.65414,1.51577,0.72986,0.60547,0.76948,0.54286,1.61402,1.64926,1.52346,0.000470375,0.000470375,0.000470375
65,1287.95,1.49151,1.66167,1.52953,0.75216,0.64426,0.78335,0.55383,1.62624,1.65657,1.54123,0.000458,0.000458,0.000458
66,1307.57,1.50049,1.64447,1.51396,0.76259,0.66213,0.81703,0.64475,1.59343,1.65096,1.51339,0.000445625,0.000445625,0.000445625
67,1327.25,1.49185,1.63597,1.5154,0.81574,0.62041,0.78675,0.55208,1.61019,1.62314,1.51971,0.00043325,0.00043325,0.00043325
68,1346.55,1.48331,1.61963,1.50098,0.80085,0.61312,0.79738,0.60561,1.59503,1.64379,1.51325,0.000420875,0.000420875,0.000420875
69,1366.01,1.47044,1.60792,1.49729,0.79297,0.61931,0.79358,0.56326,1.60384,1.61857,1.52176,0.0004085,0.0004085,0.0004085
70,1385.37,1.48695,1.61488,1.50942,0.81072,0.62501,0.79842,0.56466,1.60226,1.62264,1.51405,0.000396125,0.000396125,0.000396125
71,1404.79,1.46789,1.59599,1.49324,0.76092,0.65207,0.78428,0.55863,1.6285,1.63145,1.51713,0.00038375,0.00038375,0.00038375
72,1424.2,1.46284,1.59575,1.48782,0.81069,0.62981,0.78926,0.55912,1.6205,1.62879,1.52598,0.000371375,0.000371375,0.000371375
73,1443.59,1.46635,1.5883,1.48739,0.76806,0.64666,0.7892,0.55755,1.62796,1.63532,1.52226,0.000359,0.000359,0.000359
74,1463.03,1.4638,1.58577,1.49191,0.7692,0.68529,0.83827,0.65574,1.57456,1.63663,1.50428,0.000346625,0.000346625,0.000346625
75,1482.53,1.47209,1.57974,1.49447,0.81461,0.59094,0.78578,0.56256,1.59659,1.62094,1.50934,0.00033425,0.00033425,0.00033425
