epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11036.3,1.26819,1.32794,1.34591,0.60191,0.69374,0.62068,0.47977,1.1913,1.188,1.23055,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,11378.3,1.26311,1.31448,1.34417,0.61283,0.69274,0.6191,0.47736,1.19148,1.18122,1.22701,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,11721.3,1.2569,1.29637,1.33701,0.60703,0.69674,0.62032,0.47897,1.18722,1.17832,1.22097,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,12069.5,1.26296,1.30038,1.33701,0.60654,0.69196,0.62089,0.47963,1.17909,1.17193,1.21808,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,12426.5,1.25156,1.29137,1.33265,0.61109,0.69984,0.62484,0.48514,1.17513,1.16737,1.21382,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,12782.7,1.24426,1.27873,1.32303,0.60575,0.70551,0.62523,0.48385,1.17578,1.16607,1.21362,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,13141.1,1.24559,1.27182,1.32697,0.60614,0.70313,0.62625,0.48567,1.17424,1.16362,1.21215,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,13497.4,1.23838,1.27217,1.32233,0.6049,0.70477,0.62508,0.48608,1.1726,1.16144,1.21184,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,13854,1.23686,1.25932,1.31794,0.60816,0.70407,0.62546,0.48667,1.17126,1.15903,1.20928,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,14200,1.23979,1.25294,1.31567,0.61133,0.70102,0.6257,0.48605,1.17239,1.16013,1.2095,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,14536.8,1.23984,1.25602,1.31653,0.60834,0.7015,0.62506,0.48586,1.16973,1.15757,1.20706,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,14897.3,1.22893,1.23803,1.31418,0.6091,0.6967,0.62592,0.48656,1.16864,1.15558,1.20599,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,15254.6,1.23056,1.23693,1.31046,0.61385,0.69668,0.62731,0.48788,1.16775,1.15466,1.20528,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,15612.7,1.22846,1.22846,1.30559,0.61058,0.69767,0.62894,0.48995,1.16635,1.15405,1.20435,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,15970.4,1.21713,1.22222,1.2992,0.61103,0.69354,0.62906,0.49005,1.1657,1.15189,1.20437,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,16333,1.21887,1.21381,1.30005,0.61142,0.6959,0.62734,0.48884,1.16493,1.15054,1.20393,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
